Wavelength/nm	Absorbance	Reference	Sample	Pr. Code:	000	Const1:	 0	Const2:	 0
497.40	 .152	370	261
498.10	 .149	344	244
498.80	 .15	342	242
499.51	 .143	345	248
500.21	 .143	336	242
500.91	 .139	332	241
501.61	 .138	364	265
502.32	 .134	361	265
503.02	 .136	356	260
503.72	 .13	367	272
504.42	 .128	361	269
505.12	 .129	359	267
505.82	 .117	343	262
506.53	 .121	334	253
507.23	 .121	332	251
507.93	 .113	335	258
508.63	 .111	327	253
509.33	 .112	317	245
510.03	 .103	317	250
510.73	 .111	327	253
511.43	 .098	321	256
512.13	 .094	309	249
512.83	 .097	315	252
513.53	 .088	306	250
514.23	 .092	305	247
514.93	 .087	285	233
515.62	 .085	275	226
516.32	 .082	286	237
517.02	 .087	303	248
517.72	 .076	280	235
518.42	 .078	281	235
519.12	 .072	295	250
519.81	 .066	282	242
520.51	 .062	263	228
521.21	 .061	260	226
521.91	 .059	266	232
522.60	 .06	257	224
523.30	 .055	259	228
524.00	 .046	260	234
524.70	 .05	256	228
525.39	 .047	254	228
526.09	 .045	256	231
526.78	 .044	257	232
527.48	 .042	249	226
528.18	 .036	242	223
528.87	 .033	258	239
529.57	 .034	249	230
530.26	 .03	255	238
530.96	 .031	245	228
531.65	 .02	249	238
532.35	 .028	241	226
533.04	 .023	254	241
533.74	 .01	255	249
534.43	 .015	264	255
535.13	 .015	266	257
535.82	 .008	262	257
536.51	 .005	249	246
537.21	 .007	246	242
537.90	 .007	265	261
538.59	 .002	274	273
539.29	 0	280	280
539.98	 .003	277	275
540.67	-.007	260	264
541.37	-.002	263	264
542.06	-.005	262	265
542.75	-.005	262	265
543.44	-.013	255	263
544.14	-.013	264	272
544.83	-.016	269	279
545.52	-.013	268	276
546.21	-.023	258	272
546.90	-.017	268	279
547.59	-.019	286	299
548.28	-.028	296	316
548.97	-.025	273	289
549.67	-.031	246	264
550.36	-.031	254	273
551.05	-.032	245	264
551.74	-.044	255	282
552.43	-.032	285	307
553.12	-.039	278	304
553.80	-.042	276	304
554.49	-.038	260	284
555.18	-.048	283	316
555.87	-.043	286	316
556.56	-.045	266	295
557.25	-.045	255	283
557.94	-.055	239	271
558.63	-.054	233	264
559.32	-.063	231	267
560.00	-.052	259	292
560.69	-.054	279	316
561.38	-.055	291	330
562.07	-.056	291	331
562.75	-.059	268	307
563.44	-.056	298	339
564.13	-.062	275	317
564.81	-.064	266	308
565.50	-.069	255	299
566.19	-.065	248	288
566.87	-.069	245	287
567.56	-.067	270	315
568.25	-.076	273	325
568.93	-.065	305	354
569.62	-.07	320	376
570.30	-.068	347	406
570.99	-.065	370	430
571.67	-.065	415	482
572.36	-.063	394	455
573.04	-.068	395	462
573.73	-.067	408	476
574.41	-.071	442	520
575.09	-.071	470	554
575.78	-.072	390	460
576.46	-.072	427	504
577.15	-.075	411	488
577.83	-.069	569	667
578.51	-.071	530	624
579.19	-.075	426	506
579.88	-.076	439	523
580.56	-.08	402	483
581.24	-.078	588	703
581.92	-.074	601	713
582.61	-.076	500	596
583.29	-.076	421	502
583.97	-.085	359	437
584.65	-.083	431	522
585.33	-.078	526	630
586.02	-.079	484	580
586.70	-.084	426	517
587.38	-.083	449	544
588.06	-.091	431	532
588.74	-.085	419	509
589.42	-.088	360	441
590.10	-.095	360	448
590.78	-.099	329	413
591.46	-.095	334	416
592.14	-.1	338	427
592.82	-.09	456	561
593.50	-.094	476	591
594.18	-.096	396	494
594.85	-.095	360	448
595.53	-.098	360	451
596.21	-.099	319	401
596.89	-.1	330	420
597.57	-.097	380	475
598.25	-.098	372	466
598.92	-.095	497	619
599.60	-.096	468	584
600.28	-.091	499	616
600.96	-.099	417	524
601.63	-.1	361	460
602.31	-.1	330	423
602.99	-.1	322	411
603.66	-.1	381	485
604.34	-.1	395	498
605.02	-.1	379	488
605.69	-.1	417	532
606.37	-.1	439	556
607.04	-.1	447	563
607.72	-.1	453	577
608.39	-.1	388	495
609.07	-.1	346	447
609.74	-.1	336	433
610.42	-.1	330	429
611.09	-.1	324	424
611.77	-.1	338	434
612.44	-.1	336	434
613.11	-.1	352	456
613.79	-.1	346	451
614.46	-.1	376	488
615.13	-.1	422	542
615.81	-.1	369	480
616.48	-.1	340	438
617.15	-.1	310	406
617.83	-.1	298	393
618.50	-.1	303	401
619.17	-.1	293	386
619.84	-.1	306	409
620.51	-.1	292	390
621.19	-.1	258	346
621.86	-.1	322	425
622.53	-.1	313	413
623.20	-.1	312	415
623.87	-.1	303	402
624.54	-.1	322	425
625.21	-.1	289	389
625.88	-.1	288	388
626.55	-.1	285	384
627.22	-.1	305	413
627.89	-.1	290	392
628.56	-.1	268	362
629.23	-.1	303	402
629.90	-.1	281	382
630.57	-.1	282	379
631.24	-.1	267	360
631.91	-.1	254	347
632.58	-.1	247	342
633.24	-.1	246	338
633.91	-.1	245	330
634.58	-.1	247	342
635.25	-.1	241	333
635.91	-.1	255	344
636.58	-.1	268	369
637.25	-.1	254	350
637.92	-.1	242	340
638.58	-.1	246	343
639.25	-.1	243	332
639.92	-.1	238	326
640.58	-.1	250	343
641.25	-.1	244	330
641.91	-.1	235	326
642.58	-.1	234	324
643.24	-.1	238	332
643.91	-.1	241	334
644.57	-.1	237	329
645.24	-.1	239	329
645.90	-.1	237	323
646.57	-.1	232	323
647.23	-.1	235	322
647.90	-.1	239	332
648.56	-.1	270	365
649.22	-.1	280	381
649.89	-.1	266	367
650.55	-.1	252	347
651.21	-.1	255	351
651.88	-.1	250	344
652.54	-.1	254	349
653.20	-.1	266	364
653.86	-.1	253	351
654.53	-.1	244	338
655.19	-.1	261	353
655.85	-.1	820	1044
656.51	-.1	678	869
657.17	-.1	418	552
657.83	-.1	331	442
658.49	-.1	279	381
659.16	-.1	258	356
659.82	-.1	249	346
660.48	-.1	244	337
661.14	-.1	244	339
661.80	-.1	246	338
662.46	-.1	247	336
663.12	-.1	244	333
663.78	-.1	247	344
664.43	-.1	256	358
665.09	-.1	255	352
665.75	-.1	250	345
666.41	-.1	248	342
667.07	-.1	248	342
667.73	-.1	244	341
668.39	-.1	247	339
669.04	-.1	247	342
669.70	-.1	254	351
670.36	-.1	257	352
671.02	-.1	255	354
671.67	-.1	294	397
672.33	-.1	291	398
672.99	-.1	272	375
673.64	-.1	264	360
674.30	-.1	263	358
674.95	-.1	254	350
675.61	-.1	256	351
676.27	-.1	266	367
676.92	-.1	265	365
677.58	-.1	268	369
678.23	-.1	278	377
678.89	-.1	279	380
679.54	-.1	287	392
680.20	-.1	278	380
680.85	-.1	265	361
681.50	-.1	275	377
682.16	-.1	274	370
682.81	-.1	261	360
683.46	-.1	260	356
684.12	-.1	274	372
684.77	-.1	286	387
685.42	-.1	307	413
686.08	-.1	294	396
686.73	-.1	280	379
687.38	-.1	275	378
688.03	-.1	271	368
688.68	-.1	262	358
689.34	-.1	265	362
689.99	-.1	273	369
690.64	-.1	263	357
691.29	-.1	291	393
691.94	-.1	282	385
692.59	-.1	271	371
693.24	-.1	273	372
693.89	-.1	263	361
694.54	-.1	255	349
695.19	-.1	264	364
695.84	-.1	268	364
696.49	-.1	258	346
697.14	-.1	305	412
697.79	-.1	294	396
698.44	-.1	273	365
699.09	-.1	261	358
699.73	-.1	256	349
700.38	-.1	248	339
701.03	-.1	248	342
701.68	-.1	247	343
702.33	-.1	262	355
702.97	-.1	270	363
703.62	-.1	250	345
704.27	-.1	249	337
704.91	-.1	248	340
705.56	-.1	242	336
706.21	-.1	247	333
706.85	-.1	273	370
707.50	-.1	287	383
708.14	-.1	291	388
708.79	-.1	273	368
709.43	-.1	266	357
710.08	-.1	256	344
710.72	-.1	259	354
711.37	-.1	259	349
712.01	-.1	250	343
712.66	-.1	263	353
713.30	-.1	267	363
713.95	-.1	273	367
714.59	-.1	273	370
715.23	-.1	272	365
715.88	-.1	259	350
716.52	-.1	242	330
717.16	-.1	251	339
717.80	-.1	250	342
718.45	-.1	267	362
719.09	-.1	258	352
719.73	-.1	260	351
720.37	-.1	245	335
721.01	-.1	248	338
721.66	-.1	248	331
722.30	-.1	252	336
722.94	-.1	249	332
723.58	-.1	250	333
724.22	-.1	244	331
724.86	-.1	246	329
725.50	-.1	254	339
726.14	-.1	254	342
726.78	-.1	252	340
727.42	-.1	250	339
728.06	-.1	256	346
728.70	-.1	255	343
729.34	-.1	255	342
729.97	-.1	263	352
730.61	-.1	269	358
731.25	-.1	292	388
731.89	-.1	281	374
732.53	-.1	272	364
733.16	-.1	281	373
733.80	-.1	278	369
734.44	-.1	291	384
735.08	-.1	271	359
735.71	-.1	286	375
736.35	-.1	277	366
736.99	-.1	275	360
737.62	-.1	268	357
738.26	-.1	260	347
738.89	-.1	269	358
739.53	-.1	287	380
740.16	-.1	256	342
740.80	-.1	248	330
741.43	-.1	240	322
742.07	-.1	238	321
742.70	-.1	250	337
743.34	-.1	240	318
743.97	-.1	232	311
744.61	-.1	229	308
745.24	-.1	228	301
745.87	-.1	233	310
746.51	-.1	230	308
747.14	-.1	227	305
747.77	-.1	223	303
748.40	-.1	219	292
749.04	-.1	220	294
749.67	-.1	225	305
750.30	-.1	257	335
750.93	-.1	240	319
751.56	-.1	239	316
752.19	-.1	230	304
752.82	-.1	229	303
753.46	-.1	229	308
754.09	-.1	236	312
754.72	-.1	225	300
755.35	-.1	230	305
755.98	-.1	233	311
756.61	-.1	254	333
757.24	-.1	272	353
757.86	-.1	287	374
758.49	-.1	258	343
759.12	-.1	244	326
759.75	-.1	253	331
760.38	-.1	257	339
761.01	-.1	276	361
761.64	-.1	263	346
